epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.39682,0.98282,4.25052,1.11185,0.00483,0.11171,0.00639,0.00536,0.95515,4.44293,1.08815,0.09802,2e-05,2e-05
2,6.95626,0.99392,4.27991,1.15818,0.0045,0.11171,0.00593,0.00485,0.95967,4.43455,1.09272,0.0950492,4.9175e-05,4.9175e-05
3,8.59445,1.01219,2.90026,1.17758,0.91594,0.19529,0.19557,0.17127,0.95446,2.30815,0.9912,0.0920774,7.736e-05,7.736e-05
4,12.8362,1.07651,1.97858,1.20133,0.74925,0.22316,0.24753,0.19049,0.93684,2.82733,0.95221,0.0891046,0.000104555,0.000104555
5,15.3268,0.98095,1.7763,1.10541,0.7853,0.24183,0.24957,0.1927,0.94698,1.6135,0.93489,0.0861308,0.00013076,0.00013076
6,18.5639,0.99863,1.50034,1.06091,0.74043,0.28788,0.28237,0.19521,1.0363,2.35334,0.9671,0.083156,0.000155975,0.000155975
7,20.9732,0.9321,1.39214,1.02313,0.87763,0.25819,0.36906,0.24696,0.96965,1.70099,0.95675,0.0801802,0.0001802,0.0001802
8,27.1395,0.93673,1.24796,1.03702,0.78667,0.39646,0.34158,0.22705,0.96369,1.67789,0.95309,0.0772034,0.000203435,0.000203435
9,29.0608,0.86936,1.11566,0.94897,0.85482,0.38369,0.35472,0.23384,1.01681,1.7014,0.9605,0.0742257,0.00022568,0.00022568
10,31.443,0.86406,1.15897,0.97314,0.84912,0.3507,0.40745,0.26307,0.9355,1.1982,0.9383,0.0712469,0.000246935,0.000246935
11,37.7593,0.9638,1.11411,1.09956,0.80308,0.41288,0.43087,0.27804,0.90133,1.31033,0.93702,0.0682672,0.0002672,0.0002672
12,43.5314,0.9041,0.92255,1.0066,0.88135,0.4101,0.44322,0.29721,0.85891,1.1931,0.92396,0.0652865,0.000286475,0.000286475
